P -5516.0480, -3898.5280, 0.0000, 40, 90, 120, 3, N
P -5516.0480, -3025.5680, 0.0000, 40, 80, 110, 1, S
P -5079.5680, -3462.0480, 0.0000, 40, 80, 110, 1, E
P -5952.5280, -3462.0480, 0.0000, 40, 80, 110, 1, W
L 2994.33, -3585.00, 0.0000, 3611.00, -3509.27, 0.0000, 110, 170, 200
L 3611.00, -3585.00, 0.0000, 3575.53, -2979.67, 0.0000, 110, 170, 200
L 3575.53, -2979.67, 0.0000, 3611.00, -2374.33, 0.0000, 110, 170, 200
L 3611.00, -2374.33, 0.0000, 3530.87, -1769.00, 0.0000, 110, 170, 200
L 3530.87, -1769.00, 0.0000, 3611.00, -1163.67, 0.0000, 110, 170, 200
L 3611.00, -1163.67, 0.0000, 3553.79, -558.33, 0.0000, 110, 170, 200
L 3553.79, -558.33, 0.0000, 3611.00, 47.00, 0.0000, 110, 170, 200
L 3611.00, 47.00, 0.0000, 3546.61, 652.33, 0.0000, 110, 170, 200
L 3546.61, 652.33, 0.0000, 3611.00, 1257.67, 0.0000, 110, 170, 200
L 3611.00, 1257.67, 0.0000, 3552.30, 1863.00, 0.0000, 110, 170, 200
L 3552.30, 1863.00, 0.0000, 3611.00, 2468.33, 0.0000, 110, 170, 200
L 3611.00, 2468.33, 0.0000, 3562.24, 3073.67, 0.0000, 110, 170, 200
L 3562.24, 3073.67, 0.0000, 3611.00, 3679.00, 0.0000, 110, 170, 200
L 3611.00, 3679.00, 0.0000, 3570.09, 4284.33, 0.0000, 110, 170, 200
L 3570.09, 4284.33, 0.0000, 3611.00, 4889.67, 0.0000, 110, 170, 200
L 3611.00, 4889.67, 0.0000, 3539.37, 5495.00, 0.0000, 110, 170, 200
L 3611.00, 5495.00, 0.0000, 2994.33, 5433.72, 0.0000, 110, 170, 200
L 2994.33, 5433.72, 0.0000, 2377.67, 5495.00, 0.0000, 110, 170, 200
L 2377.67, 5495.00, 0.0000, 1761.00, 5436.95, 0.0000, 110, 170, 200
L 1761.00, 5436.95, 0.0000, 1144.33, 5495.00, 0.0000, 110, 170, 200
L 1144.33, 5495.00, 0.0000, 527.67, 5420.34, 0.0000, 110, 170, 200
L 527.67, 5420.34, 0.0000, -89.00, 5495.00, 0.0000, 110, 170, 200
L -89.00, 5495.00, 0.0000, -705.67, 5439.80, 0.0000, 110, 170, 200
L -705.67, 5439.80, 0.0000, -1322.33, 5495.00, 0.0000, 110, 170, 200
L -1322.33, 5495.00, 0.0000, -1939.00, 5464.18, 0.0000, 110, 170, 200
L -1939.00, 5464.18, 0.0000, -2555.67, 5495.00, 0.0000, 110, 170, 200
L -2555.67, 5495.00, 0.0000, -3172.33, 5433.77, 0.0000, 110, 170, 200
L -3172.33, 5433.77, 0.0000, -3789.00, 5495.00, 0.0000, 110, 170, 200
L -3789.00, 5495.00, 0.0000, -4405.67, 5416.94, 0.0000, 110, 170, 200
L -4405.67, 5416.94, 0.0000, -5022.33, 5495.00, 0.0000, 110, 170, 200
L -5022.33, 5495.00, 0.0000, -5639.00, 5452.34, 0.0000, 110, 170, 200
L -5639.00, 5495.00, 0.0000, -5558.89, 4889.67, 0.0000, 110, 170, 200
L -5558.89, 4889.67, 0.0000, -5639.00, 4284.33, 0.0000, 110, 170, 200
L -5639.00, 4284.33, 0.0000, -5562.96, 3679.00, 0.0000, 110, 170, 200
L -5562.96, 3679.00, 0.0000, -5639.00, 3073.67, 0.0000, 110, 170, 200
L -5639.00, 3073.67, 0.0000, -5564.49, 2468.33, 0.0000, 110, 170, 200
L -5564.49, 2468.33, 0.0000, -5639.00, 1863.00, 0.0000, 110, 170, 200
L -5639.00, 1863.00, 0.0000, -5609.17, 1257.67, 0.0000, 110, 170, 200
L -5609.17, 1257.67, 0.0000, -5639.00, 652.33, 0.0000, 110, 170, 200
L -5639.00, 652.33, 0.0000, -5584.35, 47.00, 0.0000, 110, 170, 200
L -5584.35, 47.00, 0.0000, -5639.00, -558.33, 0.0000, 110, 170, 200
L -5639.00, -558.33, 0.0000, -5574.98, -1163.67, 0.0000, 110, 170, 200
L -5574.98, -1163.67, 0.0000, -5639.00, -1769.00, 0.0000, 110, 170, 200
L -5639.00, -1769.00, 0.0000, -5597.19, -2374.33, 0.0000, 110, 170, 200
L -5597.19, -2374.33, 0.0000, -5639.00, -2979.67, 0.0000, 110, 170, 200
L -5639.00, -2979.67, 0.0000, -5594.87, -3585.00, 0.0000, 110, 170, 200
L  -5130.7180, -3462.0480, 0.0000, -5136.5680, -3395.1380, 0.0000, 110, 170, 200
L  -5136.5680, -3395.1380, 0.0000, -5153.9580, -3330.2580, 0.0000, 110, 170, 200
L  -5153.9580, -3330.2580, 0.0000, -5182.3380, -3269.3880, 0.0000, 110, 170, 200
L  -5182.3380, -3269.3880, 0.0000, -5220.8680, -3214.3580, 0.0000, 110, 170, 200
L  -5220.8680, -3214.3580, 0.0000, -5268.3580, -3166.8680, 0.0000, 110, 170, 200
L  -5268.3580, -3166.8680, 0.0000, -5323.3880, -3128.3380, 0.0000, 110, 170, 200
L  -5323.3880, -3128.3380, 0.0000, -5384.2580, -3099.9580, 0.0000, 110, 170, 200
L  -5384.2580, -3099.9580, 0.0000, -5449.1380, -3082.5680, 0.0000, 110, 170, 200
L  -5449.1380, -3082.5680, 0.0000, -5516.0480, -3076.7180, 0.0000, 110, 170, 200
L  -5516.0480, -3076.7180, 0.0000, -5582.9580, -3082.5680, 0.0000, 110, 170, 200
L  -5582.9580, -3082.5680, 0.0000, -5647.8380, -3099.9580, 0.0000, 110, 170, 200
L  -5647.8380, -3099.9580, 0.0000, -5708.7080, -3128.3380, 0.0000, 110, 170, 200
L  -5708.7080, -3128.3380, 0.0000, -5763.7380, -3166.8680, 0.0000, 110, 170, 200
L  -5763.7380, -3166.8680, 0.0000, -5811.2280, -3214.3580, 0.0000, 110, 170, 200
L  -5811.2280, -3214.3580, 0.0000, -5849.7580, -3269.3880, 0.0000, 110, 170, 200
L  -5849.7580, -3269.3880, 0.0000, -5878.1380, -3330.2580, 0.0000, 110, 170, 200
L  -5878.1380, -3330.2580, 0.0000, -5895.5280, -3395.1380, 0.0000, 110, 170, 200
L  -5895.5280, -3395.1380, 0.0000, -5901.3780, -3462.0480, 0.0000, 110, 170, 200
L  -5901.3780, -3462.0480, 0.0000, -5895.5280, -3528.9580, 0.0000, 110, 170, 200
L  -5895.5280, -3528.9580, 0.0000, -5878.1380, -3593.8380, 0.0000, 110, 170, 200
L  -5878.1380, -3593.8380, 0.0000, -5849.7580, -3654.7080, 0.0000, 110, 170, 200
L  -5849.7580, -3654.7080, 0.0000, -5811.2280, -3709.7380, 0.0000, 110, 170, 200
L  -5811.2280, -3709.7380, 0.0000, -5763.7380, -3757.2280, 0.0000, 110, 170, 200
L  -5763.7380, -3757.2280, 0.0000, -5708.7080, -3795.7580, 0.0000, 110, 170, 200
L  -5708.7080, -3795.7580, 0.0000, -5647.8380, -3824.1380, 0.0000, 110, 170, 200
L  -5647.8380, -3824.1380, 0.0000, -5582.9580, -3841.5280, 0.0000, 110, 170, 200
L  -5582.9580, -3841.5280, 0.0000, -5516.0480, -3847.3780, 0.0000, 110, 170, 200
L  -5516.0480, -3847.3780, 0.0000, -5449.1380, -3841.5280, 0.0000, 110, 170, 200
L  -5449.1380, -3841.5280, 0.0000, -5384.2580, -3824.1380, 0.0000, 110, 170, 200
L  -5384.2580, -3824.1380, 0.0000, -5323.3880, -3795.7580, 0.0000, 110, 170, 200
L  -5323.3880, -3795.7580, 0.0000, -5268.3580, -3757.2280, 0.0000, 110, 170, 200
L  -5268.3580, -3757.2280, 0.0000, -5220.8680, -3709.7380, 0.0000, 110, 170, 200
L  -5220.8680, -3709.7380, 0.0000, -5182.3380, -3654.7080, 0.0000, 110, 170, 200
L  -5182.3380, -3654.7080, 0.0000, -5153.9580, -3593.8380, 0.0000, 110, 170, 200
L  -5153.9580, -3593.8380, 0.0000, -5136.5680, -3528.9580, 0.0000, 110, 170, 200
L  -5136.5680, -3528.9580, 0.0000, -5130.7180, -3462.0480, 0.0000, 110, 170, 200
L  -5516.0480, -3462.0480, 0.0000, -5516.0480, -3803.0480, 0.0000, 110, 170, 200
L  -5516.0480, -3462.0480, 0.0000, -5175.0480, -3462.0480, 0.0000, 110, 170, 200
L  -5516.0480, -3462.0480, 0.0000, -5516.0480, -3121.0480, 0.0000, 110, 170, 200
L  -5516.0480, -3462.0480, 0.0000, -5857.0480, -3462.0480, 0.0000, 110, 170, 200
L -1386.7242, 1214.5636, 0.0000, -1381.9034, 1108.5077, 0.0000, 92, 84, 116
L -1381.9034, 1108.5077, 0.0000, -1345.7480, 1108.5077, 0.0000, 92, 84, 116
L -1345.7480, 1108.5077, 0.0000, -1340.9273, 1214.5636, 0.0000, 92, 84, 116
L -1340.9273, 1214.5636, 0.0000, -1386.7242, 1214.5636, 0.0000, 92, 84, 116
L -1346.9532, 1077.1730, 0.0000, -1349.2137, 1092.8404, 0.0000, 92, 84, 116
L -1349.2137, 1092.8404, 0.0000, -1355.3895, 1104.3097, 0.0000, 92, 84, 116
L -1355.3895, 1104.3097, 0.0000, -1363.8257, 1108.5077, 0.0000, 92, 84, 116
L -1363.8257, 1108.5077, 0.0000, -1372.2620, 1104.3097, 0.0000, 92, 84, 116
L -1372.2620, 1104.3097, 0.0000, -1378.4378, 1092.8404, 0.0000, 92, 84, 116
L -1378.4378, 1092.8404, 0.0000, -1380.6983, 1077.1730, 0.0000, 92, 84, 116
L -1380.6983, 1077.1730, 0.0000, -1378.4378, 1061.5057, 0.0000, 92, 84, 116
L -1378.4378, 1061.5057, 0.0000, -1372.2620, 1050.0364, 0.0000, 92, 84, 116
L -1372.2620, 1050.0364, 0.0000, -1363.8257, 1045.8383, 0.0000, 92, 84, 116
L -1363.8257, 1045.8383, 0.0000, -1355.3895, 1050.0364, 0.0000, 92, 84, 116
L -1355.3895, 1050.0364, 0.0000, -1349.2137, 1061.5057, 0.0000, 92, 84, 116
L -1349.2137, 1061.5057, 0.0000, -1346.9532, 1077.1730, 0.0000, 92, 84, 116
L -1384.3138, 1089.2248, 0.0000, -1379.4931, 1041.0176, 0.0000, 92, 84, 116
L -1379.4931, 1041.0176, 0.0000, -1363.8257, 1028.9658, 0.0000, 92, 84, 116
L -1363.8257, 1028.9658, 0.0000, -1348.1584, 1041.0176, 0.0000, 92, 84, 116
L -1348.1584, 1041.0176, 0.0000, -1343.3377, 1089.2248, 0.0000, 92, 84, 116
L -1346.9532, 1159.1253, 0.0000, -1322.8496, 1154.3046, 0.0000, 92, 84, 116
L -1322.8496, 1154.3046, 0.0000, -1322.8496, 1175.9978, 0.0000, 92, 84, 116
L -1322.8496, 1175.9978, 0.0000, -1346.9532, 1180.8186, 0.0000, 92, 84, 116
L -1346.9532, 1180.8186, 0.0000, -1346.9532, 1159.1253, 0.0000, 92, 84, 116
L -1793.2782, 1262.6727, 0.0000, -1788.4574, 1156.6168, 0.0000, 92, 84, 116
L -1788.4574, 1156.6168, 0.0000, -1752.3020, 1156.6168, 0.0000, 92, 84, 116
L -1752.3020, 1156.6168, 0.0000, -1747.4813, 1262.6727, 0.0000, 92, 84, 116
L -1747.4813, 1262.6727, 0.0000, -1793.2782, 1262.6727, 0.0000, 92, 84, 116
L -1753.5072, 1125.2821, 0.0000, -1755.7677, 1140.9494, 0.0000, 92, 84, 116
L -1755.7677, 1140.9494, 0.0000, -1761.9435, 1152.4187, 0.0000, 92, 84, 116
L -1761.9435, 1152.4187, 0.0000, -1770.3797, 1156.6168, 0.0000, 92, 84, 116
L -1770.3797, 1156.6168, 0.0000, -1778.8160, 1152.4187, 0.0000, 92, 84, 116
L -1778.8160, 1152.4187, 0.0000, -1784.9918, 1140.9494, 0.0000, 92, 84, 116
L -1784.9918, 1140.9494, 0.0000, -1787.2523, 1125.2821, 0.0000, 92, 84, 116
L -1787.2523, 1125.2821, 0.0000, -1784.9918, 1109.6147, 0.0000, 92, 84, 116
L -1784.9918, 1109.6147, 0.0000, -1778.8160, 1098.1454, 0.0000, 92, 84, 116
L -1778.8160, 1098.1454, 0.0000, -1770.3797, 1093.9474, 0.0000, 92, 84, 116
L -1770.3797, 1093.9474, 0.0000, -1761.9435, 1098.1454, 0.0000, 92, 84, 116
L -1761.9435, 1098.1454, 0.0000, -1755.7677, 1109.6147, 0.0000, 92, 84, 116
L -1755.7677, 1109.6147, 0.0000, -1753.5072, 1125.2821, 0.0000, 92, 84, 116
L -1790.8678, 1137.3339, 0.0000, -1786.0471, 1089.1266, 0.0000, 92, 84, 116
L -1786.0471, 1089.1266, 0.0000, -1770.3797, 1077.0748, 0.0000, 92, 84, 116
L -1770.3797, 1077.0748, 0.0000, -1754.7124, 1089.1266, 0.0000, 92, 84, 116
L -1754.7124, 1089.1266, 0.0000, -1749.8916, 1137.3339, 0.0000, 92, 84, 116
L -1753.5072, 1207.2344, 0.0000, -1729.4036, 1202.4136, 0.0000, 92, 84, 116
L -1729.4036, 1202.4136, 0.0000, -1729.4036, 1224.1069, 0.0000, 92, 84, 116
L -1729.4036, 1224.1069, 0.0000, -1753.5072, 1228.9276, 0.0000, 92, 84, 116
L -1753.5072, 1228.9276, 0.0000, -1753.5072, 1207.2344, 0.0000, 92, 84, 116
L -1821.2900, -3164.3533, 0.0000, -1920.2900, -3164.3533, 0.0000, 40, 80, 110
L -1920.2900, -3164.3533, 0.0000, -1920.2900, -3014.3533, 0.0000, 40, 80, 110
L -1920.2900, -3014.3533, 0.0000, -1821.2900, -3014.3533, 0.0000, 40, 80, 110
L -1920.2900, -3089.3533, 0.0000, -1850.9900, -3089.3533, 0.0000, 40, 80, 110
L -1797.2900, -3014.3533, 0.0000, -1797.2900, -3164.3533, 0.0000, 40, 80, 110
L -1797.2900, -3164.3533, 0.0000, -1727.9900, -3164.3533, 0.0000, 40, 80, 110
L -1727.9900, -3164.3533, 0.0000, -1703.2400, -3134.3533, 0.0000, 40, 80, 110
L -1703.2400, -3134.3533, 0.0000, -1727.9900, -3096.8533, 0.0000, 40, 80, 110
L -1727.9900, -3096.8533, 0.0000, -1797.2900, -3096.8533, 0.0000, 40, 80, 110
L -1762.6400, -3096.8533, 0.0000, -1698.2900, -3014.3533, 0.0000, 40, 80, 110
L -1674.2900, -3164.3533, 0.0000, -1674.2900, -3044.3533, 0.0000, 40, 80, 110
L -1674.2900, -3044.3533, 0.0000, -1654.4900, -3014.3533, 0.0000, 40, 80, 110
L -1654.4900, -3014.3533, 0.0000, -1595.0900, -3014.3533, 0.0000, 40, 80, 110
L -1595.0900, -3014.3533, 0.0000, -1575.2900, -3044.3533, 0.0000, 40, 80, 110
L -1575.2900, -3044.3533, 0.0000, -1575.2900, -3164.3533, 0.0000, 40, 80, 110
L -1551.2900, -3014.3533, 0.0000, -1551.2900, -3164.3533, 0.0000, 40, 80, 110
L -1551.2900, -3164.3533, 0.0000, -1491.8900, -3164.3533, 0.0000, 40, 80, 110
L -1491.8900, -3164.3533, 0.0000, -1457.2400, -3119.3533, 0.0000, 40, 80, 110
L -1457.2400, -3119.3533, 0.0000, -1457.2400, -3059.3533, 0.0000, 40, 80, 110
L -1457.2400, -3059.3533, 0.0000, -1491.8900, -3014.3533, 0.0000, 40, 80, 110
L -1491.8900, -3014.3533, 0.0000, -1551.2900, -3014.3533, 0.0000, 40, 80, 110
L -1409.1632, -3164.3533, 0.0000, -1411.6580, -3119.3533, 0.0000, 40, 80, 110
L -1263.7100, -3141.8533, 0.0000, -1283.5100, -3164.3533, 0.0000, 40, 80, 110
L -1283.5100, -3164.3533, 0.0000, -1342.9100, -3164.3533, 0.0000, 40, 80, 110
L -1342.9100, -3164.3533, 0.0000, -1362.7100, -3137.3533, 0.0000, 40, 80, 110
L -1362.7100, -3137.3533, 0.0000, -1362.7100, -3104.3533, 0.0000, 40, 80, 110
L -1362.7100, -3104.3533, 0.0000, -1342.9100, -3089.3533, 0.0000, 40, 80, 110
L -1342.9100, -3089.3533, 0.0000, -1283.5100, -3089.3533, 0.0000, 40, 80, 110
L -1283.5100, -3089.3533, 0.0000, -1263.7100, -3071.3533, 0.0000, 40, 80, 110
L -1263.7100, -3071.3533, 0.0000, -1263.7100, -3038.3533, 0.0000, 40, 80, 110
L -1263.7100, -3038.3533, 0.0000, -1283.5100, -3014.3533, 0.0000, 40, 80, 110
L -1283.5100, -3014.3533, 0.0000, -1342.9100, -3014.3533, 0.0000, 40, 80, 110
L -1342.9100, -3014.3533, 0.0000, -1362.7100, -3038.3533, 0.0000, 40, 80, 110
L -1022.6600, -3134.3533, 0.0000, -1047.4100, -3164.3533, 0.0000, 40, 80, 110
L -1047.4100, -3164.3533, 0.0000, -1091.9600, -3164.3533, 0.0000, 40, 80, 110
L -1091.9600, -3164.3533, 0.0000, -1116.7100, -3119.3533, 0.0000, 40, 80, 110
L -1116.7100, -3119.3533, 0.0000, -1116.7100, -3059.3533, 0.0000, 40, 80, 110
L -1116.7100, -3059.3533, 0.0000, -1091.9600, -3014.3533, 0.0000, 40, 80, 110
L -1091.9600, -3014.3533, 0.0000, -1047.4100, -3014.3533, 0.0000, 40, 80, 110
L -1047.4100, -3014.3533, 0.0000, -1022.6600, -3044.3533, 0.0000, 40, 80, 110
L -993.7100, -3014.3533, 0.0000, -993.7100, -3164.3533, 0.0000, 40, 80, 110
L -993.7100, -3164.3533, 0.0000, -924.4100, -3164.3533, 0.0000, 40, 80, 110
L -924.4100, -3164.3533, 0.0000, -899.6600, -3134.3533, 0.0000, 40, 80, 110
L -899.6600, -3134.3533, 0.0000, -924.4100, -3096.8533, 0.0000, 40, 80, 110
L -924.4100, -3096.8533, 0.0000, -993.7100, -3096.8533, 0.0000, 40, 80, 110
L -959.0600, -3096.8533, 0.0000, -894.7100, -3014.3533, 0.0000, 40, 80, 110
L -845.9600, -3014.3533, 0.0000, -796.4600, -3014.3533, 0.0000, 40, 80, 110
L -796.4600, -3014.3533, 0.0000, -771.7100, -3059.3533, 0.0000, 40, 80, 110
L -771.7100, -3059.3533, 0.0000, -771.7100, -3119.3533, 0.0000, 40, 80, 110
L -771.7100, -3119.3533, 0.0000, -796.4600, -3164.3533, 0.0000, 40, 80, 110
L -796.4600, -3164.3533, 0.0000, -845.9600, -3164.3533, 0.0000, 40, 80, 110
L -845.9600, -3164.3533, 0.0000, -870.7100, -3119.3533, 0.0000, 40, 80, 110
L -870.7100, -3119.3533, 0.0000, -870.7100, -3059.3533, 0.0000, 40, 80, 110
L -870.7100, -3059.3533, 0.0000, -845.9600, -3014.3533, 0.0000, 40, 80, 110
L -648.7100, -3141.8533, 0.0000, -668.5100, -3164.3533, 0.0000, 40, 80, 110
L -668.5100, -3164.3533, 0.0000, -727.9100, -3164.3533, 0.0000, 40, 80, 110
L -727.9100, -3164.3533, 0.0000, -747.7100, -3137.3533, 0.0000, 40, 80, 110
L -747.7100, -3137.3533, 0.0000, -747.7100, -3104.3533, 0.0000, 40, 80, 110
L -747.7100, -3104.3533, 0.0000, -727.9100, -3089.3533, 0.0000, 40, 80, 110
L -727.9100, -3089.3533, 0.0000, -668.5100, -3089.3533, 0.0000, 40, 80, 110
L -668.5100, -3089.3533, 0.0000, -648.7100, -3071.3533, 0.0000, 40, 80, 110
L -648.7100, -3071.3533, 0.0000, -648.7100, -3038.3533, 0.0000, 40, 80, 110
L -648.7100, -3038.3533, 0.0000, -668.5100, -3014.3533, 0.0000, 40, 80, 110
L -668.5100, -3014.3533, 0.0000, -727.9100, -3014.3533, 0.0000, 40, 80, 110
L -727.9100, -3014.3533, 0.0000, -747.7100, -3038.3533, 0.0000, 40, 80, 110
L -525.7100, -3141.8533, 0.0000, -545.5100, -3164.3533, 0.0000, 40, 80, 110
L -545.5100, -3164.3533, 0.0000, -604.9100, -3164.3533, 0.0000, 40, 80, 110
L -604.9100, -3164.3533, 0.0000, -624.7100, -3137.3533, 0.0000, 40, 80, 110
L -624.7100, -3137.3533, 0.0000, -624.7100, -3104.3533, 0.0000, 40, 80, 110
L -624.7100, -3104.3533, 0.0000, -604.9100, -3089.3533, 0.0000, 40, 80, 110
L -604.9100, -3089.3533, 0.0000, -545.5100, -3089.3533, 0.0000, 40, 80, 110
L -545.5100, -3089.3533, 0.0000, -525.7100, -3071.3533, 0.0000, 40, 80, 110
